FIRING_HEADER_ROW,Time Cue Number,Ignition Event Time,Number Of Devices,Duration,Coordinates,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Effect Name,Caliber,Category,Angles,Position Name,Animation Description,Module,Socket,Cue,Firing Notes,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,,0,1,1.84,13.000000 0.000000 -27.000000 0.000000 0.000000 0.000000 90.000000 1.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,1,50 Rack B,Palm w/ Green Pistil,1,4,0,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,0.898,1,1.84,-59.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 0.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,,50 Rack A,Palm w/ Green Pistil,0,4,0,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,3.116,1,1.84,13.000000 0.000000 -27.000000 0.000000 0.000000 0.000000 90.000000 1.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,1,50 Rack B,Palm w/ Green Pistil,1,4,1,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,5.333,1,1.84,-59.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 0.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,,50 Rack A,Palm w/ Green Pistil,0,4,1,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,7.551,1,1.84,-59.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 0.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,,50 Rack A,Palm w/ Green Pistil,0,4,2,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,9.768,1,1.84,76.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 2.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,2,50 Rack C,Palm w/ Green Pistil,2,4,0,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,11.985,1,1.84,76.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 2.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,2,50 Rack C,Palm w/ Green Pistil,2,4,1,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,14.203,1,1.84,13.000000 0.000000 -27.000000 0.000000 0.000000 0.000000 90.000000 1.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,1,50 Rack B,Palm w/ Green Pistil,1,4,2,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,16.42,1,1.84,76.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 2.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,2,50 Rack C,Palm w/ Green Pistil,2,4,2,,Mortar green palm,,,,,,,
FIRING_DATA_ROW,,18.638,1,1.84,-59.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 0.000000 0.000000,,,0,3.02,Palm w/ Green Pistil,"3""",Shells,,50 Rack A,Palm w/ Green Pistil,0,4,3,,Mortar green palm,,,,,,,
