FIRING_HEADER_ROW,Time Cue Number,Ignition Event Time,Number Of Devices,Duration,Coordinates,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Effect Name,Caliber,Category,Angles,Position Name,Animation Description,Module Description,Module Address,Slat Address,Pin Address,Firing Notes,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,,1395.358,1,38.3,-79.0 0.0 -12.0,,,0,3.02,24 Shot Gold Comet Shell Cake,"3""",Cakes,,BOARD 4,38.3s 24 Shot Gold Comet Shell Coconut Cake (6 Rows),,1,1,4,,0000 Gold Diggin Blonde,,,,,,,
FIRING_DATA_ROW,,1395.358,1,38.3,71.0 0.0 -12.0,,,0,3.02,24 Shot Gold Comet Shell Cake,"3""",Cakes,,BOARD 10,38.3s 24 Shot Gold Comet Shell Coconut Cake (6 Rows),,3,1,7,,0000 Gold Diggin Blonde,,,,,,,
FIRING_DATA_ROW,,168.928,1,23.89,-4.0 0.0 -12.0,,,0,0,130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,"3""",Cakes,,BOARD 7,23.89s 130 Shot Z Shape Gold Glittering Comet w/ Tail Cake (13 Rows),,2,1,5,,10000,,,,,,,
FIRING_DATA_ROW,,2.541,1,1.59,-27.44 0.0 -34.23,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2X8 A,Crackling Mine w/ Tail,,1,5,0,,10002,,,,,,,
FIRING_DATA_ROW,,2.541,1,1.59,-27.44 0.0 -34.23,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2X8 A,Crackling Mine w/ Tail,,1,5,1,,10002,,,,,,,
FIRING_DATA_ROW,,2.541,1,1.59,21.53 0.0 -32.22,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2x8 B,Crackling Mine w/ Tail,,3,5,0,,10002,,,,,,,
FIRING_DATA_ROW,,2.541,1,1.59,21.53 0.0 -32.22,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2x8 B,Crackling Mine w/ Tail,,3,5,1,,10002,,,,,,,
FIRING_DATA_ROW,,8.424,1,1.59,-27.44 0.0 -34.23,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2X8 A,Crackling Mine w/ Tail,,1,5,2,,10002,,,,,,,
FIRING_DATA_ROW,,8.424,1,1.59,-27.44 0.0 -34.23,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2X8 A,Crackling Mine w/ Tail,,1,5,3,,10002,,,,,,,
FIRING_DATA_ROW,,8.424,1,1.59,21.53 0.0 -32.22,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2x8 B,Crackling Mine w/ Tail,,3,5,2,,10002,,,,,,,
FIRING_DATA_ROW,,8.424,1,1.59,21.53 0.0 -32.22,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2x8 B,Crackling Mine w/ Tail,,3,5,3,,10002,,,,,,,
FIRING_DATA_ROW,,101.165,1,1.59,-27.44 0.0 -34.23,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2X8 A,Crackling Mine w/ Tail,,1,5,4,,10002,,,,,,,
FIRING_DATA_ROW,,101.165,1,1.59,-27.44 0.0 -34.23,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2X8 A,Crackling Mine w/ Tail,,1,5,5,,10002,,,,,,,
FIRING_DATA_ROW,,101.165,1,1.59,21.53 0.0 -32.22,,,0,0,Crackling Mine w/ Tail,"6""",Mines,,2x8 B,Crackling Mine w/ Tail,,3,5,4,,10002,,,,,,,
