FIRING_HEADER_ROW,Time Cue Number,Ignition Event Time,Number Of Devices,Duration,Coordinates,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Effect Name,Caliber,Category,Angles,Position Name,Animation Description,Module Description,Module Address,Slat Address,Pin Address,Firing Notes,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
,,10.171,,,,,,,,Varg Flame,,,,,,,1,1,14,,,,,,,,,
,,10.171,,,,,,,,Varg Flame,,,,,,,1,1,15,,,,,,,,,
,,21.549,,,,,,,,Varg Flame,,,,,,,2,0,13,,,,,,,,,
,,21.549,,,,,,,,Varg Flame,,,,,,,2,0,12,,,,,,,,,
,,36.124,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,2,2,2,,,,,,,,,
,,36.68,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,1,1,2,,,,,,,,,
,,37.235,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,1,3,7,,,,,,,,,
,,37.791,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,2,0,6,,,,,,,,,
,,38.346,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,0,0,7,,,,,,,,,
,,38.902,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,1,0,10,,,,,,,,,
,,39.457,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,0,1,0,,,,,,,,,
,,40.013,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,1,2,10,,,,,,,,,
,,40.568,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,2,1,6,,,,,,,,,
,,41.124,,,,,,,,16 Shot Green Comet w/ Green Tail Cake,,,,,,,3,0,7,,,,,,,,,
,,57.887,,,,,,,,33 Shot Coconut Shell Cake,,,,,,,0,1,4,,,,,,,,,
,,64.904,,,,,,,,33 Shot Coconut Shell Cake,,,,,,,2,2,7,,,,,,,,,
,,106.647,,,,,,,,White Willow Comet,,,,,,,0,4,8,,,,,,,,,
,,106.685,,,,,,,,White Willow Comet,,,,,,,0,4,9,,,,,,,,,
,,106.724,,,,,,,,White Willow Comet,,,,,,,0,4,10,,,,,,,,,
,,106.762,,,,,,,,White Willow Comet,,,,,,,0,4,11,,,,,,,,,
,,106.801,,,,,,,,White Willow Comet,,,,,,,0,4,12,,,,,,,,,
,,106.839,,,,,,,,White Willow Comet,,,,,,,0,4,13,,,,,,,,,
,,106.878,,,,,,,,White Willow Comet,,,,,,,0,4,14,,,,,,,,,
,,106.916,,,,,,,,White Willow Comet,,,,,,,2,3,1,,,,,,,,,
,,106.955,,,,,,,,White Willow Comet,,,,,,,2,3,2,,,,,,,,,
,,106.993,,,,,,,,White Willow Comet,,,,,,,2,3,3,,,,,,,,,
,,107.032,,,,,,,,White Willow Comet,,,,,,,2,3,4,,,,,,,,,
,,107.07,,,,,,,,White Willow Comet,,,,,,,2,3,5,,,,,,,,,
,,107.109,,,,,,,,White Willow Comet,,,,,,,2,3,6,,,,,,,,,
,,107.147,,,,,,,,White Willow Comet,,,,,,,2,3,7,,,,,,,,,
,,110.932,,,,,,,,30 Shot Red Green Blue Yellow Pink Mine To Red Green Blue Yellow Pink Chrysanthemum Fan Cake,,,,,,,1,2,0,,,,,,,,,
,,142.272,,,,,,,,Description Here,,,,,,,0,0,11,,,,,,,,,
,,165.624,,,,,,,,Description Here,,,,,,,0,0,5,,,,,,,,,
,,170.629,,,,,,,,Description Here,,,,,,,3,0,5,,,,,,,,,
,,196.785,,,,,,,,Description Here,,,,,,,1,3,9,,,,,,,,,
,,197.374,,,,,,,,Description Here,,,,,,,3,0,4,,,,,,,,,
,,199.559,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,,216.046,,,,,,,,,,,,,,,1,2,11,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,1,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,2,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,3,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,4,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,5,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,6,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,0,2,7,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,8,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,9,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,10,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,11,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,12,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,13,,,,,,,,,
,,243.239,,,,,,,,,,,,,,,3,1,14,,,,,,,,,
,,254.71,,,,,,,,,,,,,,,1,1,5,,,,,,,,,
,,299.263,,,,,,,,,,,,,,,3,0,2,,,,,,,,,
,,333.586,,,,,,,,,,,,,,,1,3,5,,,,,,,,,
,,359.365,,,,,,,,,,,,,,,0,0,6,,,,,,,,,
,,359.754,,,,,,,,,,,,,,,0,1,3,,,,,,,,,
,,360.143,,,,,,,,,,,,,,,1,0,8,,,,,,,,,
,,360.532,,,,,,,,,,,,,,,1,1,7,,,,,,,,,
,,360.921,,,,,,,,,,,,,,,1,2,6,,,,,,,,,
,,361.309,,,,,,,,,,,,,,,1,3,6,,,,,,,,,
,,361.698,,,,,,,,,,,,,,,2,0,11,,,,,,,,,
,,362.087,,,,,,,,,,,,,,,2,1,4,,,,,,,,,
,,362.476,,,,,,,,,,,,,,,2,2,9,,,,,,,,,
,,362.865,,,,,,,,,,,,,,,3,0,6,,,,,,,,,
,,386.079,,,,,,,,,,,,,,,0,0,3,,,,,,,,,
,,386.079,,,,,,,,,,,,,,,3,0,9,,,,,,,,,
,,413.303,,,,,,,,,,,,,,,1,2,7,,,,,,,,,
,,450.133,,,,,,,,,,,,,,,0,1,8,,,,,,,,,
,,496.015,,,,,,,,,,,,,,,3,0,8,,,,,,,,,
,,519.917,,,,,,,,,,,,,,,1,3,3,,,,,,,,,
,,550.412,,,,,,,,,,,,,,,1,1,4,,,,,,,,,
,,589.128,,,,,,,,,,,,,,,0,0,9,,,,,,,,,
,,589.128,,,,,,,,,,,,,,,3,0,3,,,,,,,,,
,,633.216,,,,,,,,,,,,,,,3,0,11,,,,,,,,,
,,660.514,,,,,,,,,,,,,,,0,0,12,,,,,,,,,
,,685.479,,,,,,,,,,,,,,,2,5,0,,,,,,,,,
,,687.679,,,,,,,,,,,,,,,2,5,1,,,,,,,,,
,,689.879,,,,,,,,,,,,,,,2,5,2,,,,,,,,,
,,692.079,,,,,,,,,,,,,,,2,5,3,,,,,,,,,
,,694.279,,,,,,,,,,,,,,,2,5,4,,,,,,,,,
,,698.177,,,,,,,,,,,,,,,0,2,8,,,,,,,,,
,,699.406,,,,,,,,,,,,,,,0,2,9,,,,,,,,,
,,700.634,,,,,,,,,,,,,,,0,2,10,,,,,,,,,
,,701.863,,,,,,,,,,,,,,,0,2,11,,,,,,,,,
,,703.092,,,,,,,,,,,,,,,0,2,12,,,,,,,,,
,,704.32,,,,,,,,,,,,,,,0,2,13,,,,,,,,,
,,705.549,,,,,,,,,,,,,,,0,2,14,,,,,,,,,
,,706.778,,,,,,,,,,,,,,,1,4,15,,,,,,,,,
,,708.006,,,,,,,,,,,,,,,1,5,0,,,,,,,,,
,,709.235,,,,,,,,,,,,,,,1,5,1,,,,,,,,,
,,710.464,,,,,,,,,,,,,,,1,5,2,,,,,,,,,
,,711.692,,,,,,,,,,,,,,,1,5,3,,,,,,,,,
,,712.921,,,,,,,,,,,,,,,1,5,6,,,,,,,,,
,,714.15,,,,,,,,,,,,,,,1,5,7,,,,,,,,,
,,715.378,,,,,,,,,,,,,,,3,1,15,,,,,,,,,
,,716.607,,,,,,,,,,,,,,,3,2,0,,,,,,,,,
,,717.836,,,,,,,,,,,,,,,3,2,1,,,,,,,,,
,,719.064,,,,,,,,,,,,,,,3,2,2,,,,,,,,,
,,720.293,,,,,,,,,,,,,,,3,2,3,,,,,,,,,
,,721.522,,,,,,,,,,,,,,,3,2,4,,,,,,,,,
,,722.75,,,,,,,,,,,,,,,3,2,5,,,,,,,,,
,,723.979,,,,,,,,,,,,,,,0,4,1,,,,,,,,,
,,725.208,,,,,,,,,,,,,,,0,4,2,,,,,,,,,
,,726.436,,,,,,,,,,,,,,,0,4,3,,,,,,,,,
,,727.665,,,,,,,,,,,,,,,0,4,4,,,,,,,,,
,,728.894,,,,,,,,,,,,,,,0,4,5,,,,,,,,,
,,730.122,,,,,,,,,,,,,,,0,4,6,,,,,,,,,
,,731.351,,,,,,,,,,,,,,,0,4,7,,,,,,,,,
,,732.58,,,,,,,,,,,,,,,2,3,8,,,,,,,,,
,,733.808,,,,,,,,,,,,,,,2,3,9,,,,,,,,,
